University Name,State,Country,Course Name,Average Fees (Per Year),Currency
Trent University,Ontario,Canada,MSc in Applied Modelling and Quantitative Methods: Big Data Analytics,29013.0,CAD
Bowling Green State University,Ohio,United States,MS in Data Science,13442.0,USD
The University of Adelaide,South Australia,Australia,Graduate certificate in Data Science,24250.0,AUD
The University of Adelaide,South Australia,Australia,Masters in Data Science,51000.0,AUD
Seattle University,Washington,United States,MS in Data Science,22748.0,USD
University of Denver,Colorado,United States,MS in Data Science,39008.0,USD
University of Warwick,Coventry,United Kingdom,MSc in Data Analytics,33340.0,GBP
University of Warwick,Coventry,United Kingdom,MSc in Behavioural and Data Science,26590.0,GBP
Ecole Polytechnique Fédérale de Lausanne,Vaud,Switzerland,Masters in Data Science,1170.0,CHF
North Carolina Agricultural and Technical State University,North Carolina,United States,MS in Data Science and Engineering - Course-Only,19500.0,USD
University of Leeds,Leeds,United Kingdom,MSc in Data Science and Analytics,31750.0,GBP
University of Leeds,Leeds,United Kingdom,MSc in Precision Medicine: Genomic Data Science,31000.0,GBP
University of Leeds,Leeds,United Kingdom,MSc in Urban Data Science and Analytics,30750.0,GBP
Eindhoven University of Technology,North Brabant,Netherlands,MSc in Data Science in Business and Entrepreneurship,17800.0,EUR
Eindhoven University of Technology,North Brabant,Netherlands,MSc in Data Science and Artificial  Intelligence,17800.0,EUR
Rowan University,New Jersey,United States,MS in Data Science,11985.0,USD
The University of Auckland,Auckland,New Zealand,Masters in Data Science,48386.0,NZ
University of Miami,Florida,United States,MS in Data Science,72630.0,USD
Grand Valley State University,Michigan,United States,MS in Data Science and Analytics,14868.0,USD
Old Dominion University,Virginia,United States,MS in Data Science and Analytics,28780.0,USD
University of Technology Sydney,New South Wales,Australia,Masters in Data Science in Quantitative Finance,48096.0,AUD
University of Technology Sydney,New South Wales,Australia,MS in Data Science and Innovation,46464.0,AUD
University of Technology Sydney,New South Wales,Australia,Masters in Learning Analytics (Research),41460.0,AUD
"Long Island University, Brooklyn",New York,United States,MS in Data Analytics and Strategic Business Intelligence,41370.0,USD
"Minnesota State University, Mankato",Minnesota,United States,MS in Data Science,12976.0,USD
Queensland University of Technology,Queensland,Australia,Masters in Data Analytics,38100.0,AUD
Queensland University of Technology,Queensland,Australia,Graduate Certificate in Data Analytics,17200.0,AUD
South Dakota State University,South Dakota,United States,MS in Data Science,19620.0,USD
University of Kentucky,Kentucky,United States,MS in Data Science,35460.0,USD
"University of Nevada, Las Vegas",Nevada,United States,MS in Data Analytics,24773.0,USD
King's College London,London,United Kingdom,MSc in Complex Systems Modelling,29472.0,GBP
King's College London,London,United Kingdom,MA in Big Data in Culture & Society,31368.0,GBP
King's College London,London,United Kingdom,MSc in Data Science,35244.0,GBP
University of Amsterdam,Amsterdam,Netherlands,Masters in Data Science and Business Analytics,17270.0,EUR
Technical University of Braunschweig,Lower Saxony,Germany,MSc in Data Science,,EUR
La Trobe University,Melbourne,Australia,Masters in Data Science,32400.0,AUD
The University of Manchester,Manchester,United Kingdom,MSc in Data Science (Mathematics),32000.0,GBP
The University of Manchester,Manchester,United Kingdom,MSc in Data Science (Urban Analytics),32000.0,GBP
The University of Manchester,Manchester,United Kingdom,MSc in Health Data Science,31000.0,GBP
The University of Manchester,Manchester,United Kingdom,MSc in  Data Science (Computer Science Data Informatics),32000.0,GBP
The University of Manchester,Manchester,United Kingdom,MSc in Data Science (Business and Management),32000.0,GBP
Freie University of Berlin,Berlin,Germany,MSc in Data Science,,EUR
"University of Nebraska, Omaha",Nebraska,United States,MS in Data Science,15282.0,USD
University of Bath,Bath and North East Somerset,United Kingdom,MSc in Data Science and Statistics (Health),31600.0,GBP
University of Bath,Bath and North East Somerset,United Kingdom,MSc in Data Science And Statistics,31600.0,GBP
University of Bath,Bath and North East Somerset,United Kingdom,MSc in Data Science with Placement Year,40380.0,GBP
University of Bath,Bath and North East Somerset,United Kingdom,MSc in Data Science,31600.0,GBP
Swinburne University of Technology,Victoria,Australia,Masters in Data Science,41240.0,AUD
Clarkson University,New York,United States,MS in Applied Data Science,23880.0,USD
Chalmers University of Technology,Stockholms l'n,Sweden,MSc in Data Science and AI,160000.0,SEK
Macquarie University,New South Wales,Australia,Masters in Data Science,42600.0,AUD
Nova Southeastern University,Florida,United States,MS in Data Analytics,29070.0,USD
Leibniz University of Hannover,Lower Saxony,Germany,Masters in Analytics,,EUR
Montana State University at Bozeman,Montana,United States,MS in Data Science,19642.0,USD
Florida Atlantic University,Florida,United States,MS in Data Science and Analytics,20540.0,USD
National University,California,United States,MS in Data Science,16369.0,USD
Virginia Commonwealth University,Virginia,United States,Masters in Accountancy - Data Analytics,34980.0,USD
Queen Mary University of London,London,United Kingdom,MSc in Data Analytics,31850.0,GBP
Queen Mary University of London,London,United Kingdom,MSc in Big Data Science,31850.0,GBP
Queen Mary University of London,London,United Kingdom,MSc in Data Science and Artificial Intelligence (Conversion Programme),29950.0,GBP
Marshall University,West Virginia,United States,MS in Data Science,17160.0,USD
Fordham University,New York,United States,MS in Data Science,44340.0,USD
London School of Economics and Political Science,London,United Kingdom,MS in Applied Social Data Science,32208.0,GBP
London School of Economics and Political Science,London,United Kingdom,MSc in Data Science,36168.0,GBP
University of Canterbury,Canterbury,New Zealand,Masters in Applied Data Science,52500.0,NZ
University of the Pacific,California,United States,MS in Data Science,25920.0,USD
The University of Western Australia,Western Australia,Australia,Masters in Data Science,46400.0,AUD
University of Central Oklahoma,Oklahoma,United States,MS in Data Science,15390.0,USD
University of Birmingham,Birmingham,United Kingdom,MSc in Data Science,31410.0,GBP
Lancaster University,Lancashire,United Kingdom,MSc in Health Data Science,29150.0,GBP
Lancaster University,Lancashire,United Kingdom,MSc in Data Science,29150.0,GBP
Northeastern University - Silicon Valley,California,United States,MS in Data Science,29696.0,USD
Northeastern University - Silicon Valley,California,United States,MS in Data Science (Align),35635.0,USD
University of South Australia,South Australia,Australia,Masters in Data Science,38500.0,AUD
Cardiff University,Cardiff,United Kingdom,MSc in Data Science and Analytics,30950.0,GBP
HEC Montréal,Quebec,Canada,MSc in Data Science and Business Analytics,23860.0,CAD
Loughborough University,Leicestershire,United Kingdom,MSc in Data Science,28750.0,GBP
Lund University,Sk'ne l'n,Sweden,MS in Social Scientific Data Analysis,110000.0,SEK
Lund University,Sk'ne l'n,Sweden,MS in Data Analytics and Business Economics,135000.0,SEK
Lund University,Sk'ne l'n,Sweden,"MS in Machine Learning, Systems and Control",155000.0,SEK
Eberhard Karls University of Tübingen,Baden-Warttemberg,Germany,MSc in Quantitative Data Science Methods,3000.0,EUR
"Eberhard Karls University, Tubingen",Baden-Warttemberg,Germany,MSc in Data Science in Business and Economics,3000.0,EUR
Thompson Rivers University,British Columbia,Canada,MSc in Data Science,20576.0,CAD
University of Liverpool,Liverpool,United Kingdom,MSc in Data Science and Communication,20350.0,GBP
University of Liverpool,Liverpool,United Kingdom,MSc in Big Data and High Performance Computing,26350.0,GBP
University of Liverpool,Liverpool,United Kingdom,MSc in Data Science and Artificial Intelligence with a Year in Industry,29000.0,GBP
University of Liverpool,Liverpool,United Kingdom,MSc in Data Science and Artificial Intelligence,28800.0,GBP
University of Liverpool,Liverpool,United Kingdom,Masters in Social Research Methods,20250.0,GBP
University of Liverpool,Liverpool,United Kingdom,MSc in Big Data and High Performance Computing with a Year in Industry,15825.0,GBP
The University of Sheffield,Sheffield,United Kingdom,MSc in Data Science,29700.0,GBP
The University of Sheffield,Sheffield,United Kingdom,MSc in Psychological Research Methods with Data Science,27500.0,GBP
"University of British Columbia, Okanagan",British Columbia,Canada,Masters in Data Science,54732.0,CAD
Newcastle University,Newcastle upon Tyne,United Kingdom,MSc in Data Science,30600.0,GBP
