University Name,State,Country,Course Name,Average Fees (Per Year),Currency
University of Otago,Otago,New Zealand,MSc in Psychology,42957.0,NZ
Friedrich Schiller University Jena,Thuringia,Germany,Masters in Psychology,,EUR
Middle Tennessee State University,Tennessee,United States,MA in Psychology - Clinical,31885.0,USD
Leiden University,South Holland,Netherlands,MSc in Psychology,19300.0,EUR
University of York,York,United Kingdom,MSc in Psychology in Education,19950.0,GBP
University of Cologne,North Rhine-Westphilia,Germany,MSc in Psychological Research oriented,57590.0,EUR
University of Cologne,North Rhine-Westphilia,Germany,Masters in Psychology Application,57590.0,EUR
University of Exeter,Devon,United Kingdom,MSc in Social and Organisational Psychology,26500.0,GBP
University of Exeter,Devon,United Kingdom,MSc in Psychology (Conversion),26500.0,GBP
Webster University,Missouri,United States,Masters in Psychology,18000.0,USD
Webster University,Missouri,United States,MA in Applied Educational Psychology,12600.0,USD
Shippensburg University of Pennsylvania,Pennsylvania,United States,Masters in Psychological Science,,USD
Royal Holloway University of London,Surrey,United Kingdom,MSc in Applied Social Psychology,19500.0,GBP
Oxford Brookes University,Oxfordshire,United Kingdom,MSc in Psychology,15800.0,GBP
James Madison University,Virginia,United States,Masters in Psychological Science,,USD
Aston University,Birmingham,United Kingdom,MSc in Work Psychology and Business,23500.0,GBP
Aston University,Birmingham,United Kingdom,MSc in Psychology (Conversion),20700.0,GBP
Aston University,Birmingham,United Kingdom,MSc in Health Psychology,20700.0,GBP
Stockholm University,Stockholms l'n,Sweden,MS in Psychology,144000.0,SEK
Durham University,Durham,United Kingdom,MS in Behavioural Science,28750.0,GBP
Durham University,Durham,United Kingdom,MS in Research Methods (Developmental Psychology),23800.0,GBP
Durham University,Durham,United Kingdom,MS in Developmental Psychopathology,28750.0,GBP
University of the Bundeswehr Munich,Bavaria,Germany,Masters in Psychology,,EUR
University of Wuppertal,North Rhine-Westphilia,Germany,Masters in Psychology,,EUR
University of Konstanz,Baden-Warttemberg,Germany,Masters in Psychology,,EUR
University of West Georgia,Georgia,United States,MA in Psychology,16830.0,USD
Eastern Washington University,Washington,United States,Masters in Psychometry,,USD
University of Essex,Essex,United Kingdom,MSc in Research Methods in Psychology,20700.0,GBP
University of Essex,Essex,United Kingdom,MSc in Psychology,21700.0,GBP
University of Essex,Essex,United Kingdom,Masters in Psychoanalytic Studies,20700.0,GBP
