University Name,Address,lat,long,geometry
Ulster University,"Ulster University, Coleraine, United Kingdom",55.146263,-6.679351,POINT (-6.679351 55.146263)
Edge Hill University,"Edge Hill University, Lancashire, United Kingdom",53.654312,-2.650206,POINT (-2.650206 53.654312)
Liverpool John Moores University,"Liverpool John Moores University, Liverpool, United Kingdom",53.406277349999996,-2.9743826546534047,POINT (-2.9743826546534047 53.406277349999996)
SRH Hochschule Berlin,"SRH Hochschule Berlin, Berlin, Germany",52.5142138,13.3213531896954,POINT (13.3213531896954 52.5142138)
University of Plymouth,"University of Plymouth, Plymouth, United Kingdom",50.37566725000001,-4.139359304645783,POINT (-4.139359304645783 50.37566725000001)
Falmouth University,"Falmouth University, Cornwall, United Kingdom",50.17159,-5.123143,POINT (-5.123143 50.17159)
University of West London,"University of West London, London, United Kingdom",51.512192,-0.30951,POINT (-0.30951 51.512192)
Maastricht Universities,"Maastricht Universities, Limburg, Netherlands",50.8444528,5.6884711,POINT (5.6884711 50.8444528)
London Metropolitan University,"London Metropolitan University, London, United Kingdom",51.5522821,-0.11126644710491368,POINT (-0.1112664471049137 51.5522821)
Hong Kong Baptist University,"Hong Kong Baptist University, Kowloon, Hong Kong",22.387668,114.209983,POINT (114.209983 22.387668)
University of the West of England,"University of the West of England, Bristol, United Kingdom",51.50076785,-2.5503106339491204,POINT (-2.5503106339491204 51.50076785)
Hochschule Neu-Ulm University of Applied Sciences,"Hochschule Neu-Ulm University of Applied Sciences, Bavaria, Germany",48.380057,10.008854,POINT (10.008854 48.380057)
EU Business School,"EU Business School, Bavaria, Germany",48.1286529,11.5446179,POINT (11.5446179 48.1286529)
Universite Cote d'Azur,"Universite Cote d'Azur, Nice, France",43.716066999999995,7.264897360869565,POINT (7.264897360869565 43.716066999999995)
Hof University of Applied Sciences,"Hof University of Applied Sciences, Bavaria, Germany",50.3252934,11.9405309,POINT (11.9405309 50.3252934)
University of Wales Trinity Saint David,"University of Wales Trinity Saint David, Swansea, United Kingdom",51.6195955,-3.9459248,POINT (-3.9459248 51.6195955)
Universitat Politècnica de Catalunya- BarcelonaTech,"Universitat Politècnica de Catalunya- BarcelonaTech, Barcelona, Spain",41.38869,2.11603,POINT (2.11603 41.38869)
EADA Business School,"EADA Business School, Barcelona, Spain",41.3904669,2.156194,POINT (2.156194 41.3904669)
University of Trento,"University of Trento, Trento, Italy",46.0661497,11.11662318758863,POINT (11.11662318758863 46.0661497)
University of Barcelona,"University of Barcelona, Barcelona, Spain",41.38685955,2.163478411827376,POINT (2.163478411827376 41.38685955)
Johannes Kepler University Linz,"Johannes Kepler University Linz, Upper Austria, Austria",48.33608985,14.320579914064746,POINT (14.320579914064746 48.33608985)
Institut Polytechnique de Paris,"Institut Polytechnique de Paris, Palaiseau, France",48.7139028,2.2141074106393925,POINT (2.2141074106393925 48.7139028)
"Long Island University, Post","Long Island University, Post, New York, United States",40.820245,-73.596775,POINT (-73.596775 40.820245)
"Northeastern University, Portland","Northeastern University, Portland, Maine, United States",43.6573605,-70.2586618,POINT (-70.2586618 43.6573605)
University of Applied Sciences Würzburg - Schweinfurt,"University of Applied Sciences Würzburg - Schweinfurt, Bavaria, Germany",49.7933723,9.9309779,POINT (9.9309779 49.7933723)
Technical University of Nuremberg,"Technical University of Nuremberg, Bavaria, Germany",49.4522688,11.0934692,POINT (11.0934692 49.4522688)
University of Houston - Downtown,"University of Houston - Downtown, Texas, United States",29.58157,-95.098296,POINT (-95.098296 29.58157)
"Fleming College, Sutherland","Fleming College, Sutherland, Peterborough, Canada",44.267728,-78.37433,POINT (-78.37433 44.267728)
IU International University of Applied Sciences,"IU International University of Applied Sciences, Berlin, Germany",52.523463,13.342614,POINT (13.342614 52.523463)
Technical University of Applied Sciences Würzburg-Schweinfurt,"Technical University of Applied Sciences Würzburg-Schweinfurt, Bavaria, Germany",49.798389,10.003851,POINT (10.003851 49.798389)
"Ecole Polytechnique, Montreal","Ecole Polytechnique, Montreal, Quebec, Canada",45.520084,-73.610687,POINT (-73.610687 45.520084)
"Texas A&M University, College Station","Texas A&M University, College Station, Texas, United States",36.1979366,-76.0099227,POINT (-76.0099227 36.1979366)
Georgia Institute of Technology,"Georgia Institute of Technology, Georgia, United States",33.77233,-84.39456,POINT (-84.39456 33.77233)
University of Texas at Austin,"University of Texas at Austin, Texas, United States",30.2851494,-97.73393515146053,POINT (-97.73393515146053 30.2851494)
The University of Texas at Arlington,"The University of Texas at Arlington, Texas, United States",32.728471299999995,-97.11202127009975,POINT (-97.11202127009975 32.728471299999995)
"North Carolina State University, Raleigh","North Carolina State University, Raleigh, North Carolina, United States",35.77184965,-78.67408695452633,POINT (-78.67408695452633 35.77184965)
University of Illinois at Chicago,"University of Illinois at Chicago, Illinois, United States",41.868922299999994,-87.64858476010119,POINT (-87.64858476010119 41.868922299999994)
