University Name,State,Country,Course Name,Average Fees (Per Year),Currency
Robert Gordon University,Aberdeen City,United Kingdom,MSc in Public Health Nutrition,12850.0,GBP
Bournemouth University,Bournemouth,United Kingdom,MSc in  Public Health,15250.0,GBP
University of Derby,Derby,United Kingdom,MPH in Public Health,14900.0,GBP
University of Brighton,Brighton and Hove,United Kingdom,MSc in Public Health,19920.0,GBP
Ulster University,Coleraine,United Kingdom,MSc in Health Promotion and Public Health,17090.0,GBP
Edge Hill University,Lancashire,United Kingdom,MSc in Public Health Nutrition,13750.0,GBP
Liverpool John Moores University,Liverpool,United Kingdom,MSc in International Public Health,16900.0,GBP
Liverpool John Moores University,Liverpool,United Kingdom,MSc in Public Health Addictions,16900.0,GBP
Liverpool John Moores University,Liverpool,United Kingdom,MSc in Public Health,16900.0,GBP
University of the West of Scotland,London,United Kingdom,MPH in Public Health,17250.0,GBP
University of West London,London,United Kingdom,MSc in Public Health,14750.0,GBP
University of West London,London,United Kingdom,MSc in Psychology of Health and Illness,13750.0,GBP
Glasgow Caledonian University,Glasgow City,United Kingdom,MPH in Public Health,15539.0,GBP
Campbell University,North Carolina,United States,MS in Public Health,20790.0,USD
"St George’s, University of London",London,United Kingdom,MSc in Global Health and Humanities,25200.0,GBP
"University of Colorado, Anschutz Medical",Colorado,United States,Masters in Public Health,29820.0,USD
London Metropolitan University,London,United Kingdom,MSc in Public Health,16500.0,GBP
London Metropolitan University,London,United Kingdom,MSc in Public Health,16225.0,GBP
University of the West of England,Bristol,United Kingdom,MSc in Public Health,15500.0,GBP
Université Paris Cité,Paris,France,MS in Public Health,,EUR
Canterbury Christ Church University,Kent,United Kingdom,MSc in Global Public Health,14500.0,GBP
Canterbury Christ Church University,Kent,United Kingdom,MSc in Public Health,13365.0,GBP
University of Sunderland,Sunderland,United Kingdom,MSc in Public Health (London),13750.0,GBP
University of Sunderland,Sunderland,United Kingdom,MSc in Public Health,15900.0,GBP
Brighton and Sussex Medical School,Brighton and Hove,United Kingdom,Msc in Public Health,15012.0,GBP
Liberty University,Virginia,United States,MPH in Master of Public Health – Global Health,9156.0,USD
Liberty University,Virginia,United States,MPH in Public Health,11445.0,USD
Norwegian University of Science and Technology,Trondheim,Norway,MS in Global Health,,
"University of Southern Denmark, Esbjerg",Esbjerg,Denmark,MPH in Public Health,10200.0,USD
University of Texas Health Science Center at Houston,Houston,United States,MS in Public Health,,USD
Aix-Marseille University,Marseille,France,MPH in Public Health,2029.0,EUR
University of Northampton,Northamptonshire,United Kingdom,MSc in Public Health,15000.0,GBP
Augusta University,Georgia,United States,Masters in Public Health,25470.0,USD
University of Oslo,Oslo,Norway,MS in International Community Health,,
UiT The Arctic University of Norway,Troms,Norway,MS in Public Health,,
University of Eastern Finland,Finnmark,Norway,MPH in Public Health,10000.0,
Mälardalen University,Västerås,Sweden,MS in Public Health within Health and Social Welfare,135000.0,SEK
The University of North Texas Health Science Center at Fort Worth,Texas,United States,Masters in Public Health,15984.0,USD
SUNY Downstate Health Sciences University,New York,United States,MPH in Public Health,20811.0,USD
New England Institute of Technology,Rhode Island,United States,MS in Public Health,19688.0,USD
Arcadia University,Pennsylvania,United States,MPH in Public Health,17115.0,USD
Eastern Kentucky University,Kentucky,United States,MPH in Public Health - Environmental/Occupational Health & Sustainability,15750.0,USD
Hawaii Pacific University,Hawaii,United States,MPH in Public Health,22230.0,USD
EHESP,Rennes,France,MS in Public Health,8000.0,EUR
London School of Hygiene & Tropical Medicine,London,United Kingdom,MSc in Public Health,28540.0,GBP
Royal Tropical Institute,Amsterdam,Netherlands,MS in Public Health,18250.0,EUR
