University Name,State,Country,Course Name,Average Fees (Per Year),Currency,Average Fees in INR
"Nottingham Trent University, Clifton Campus",Nottingham,United Kingdom,MSc in Software Engineering,19500.0,GBP,2061930.0
University of Scranton,Pennsylvania,United States,MS in Software Engineering,17370.0,USD,1451437.2
Centennial College,Ontario,Canada,PGDM in Software Engineering,16377.0,CAD,998997.0
University of Salford,Salford,United Kingdom,MSc in Software Engineering,17550.0,GBP,1855737.0
University of Bedfordshire,Buckinghamshire,United Kingdom,MSc in Software Engineering and Applications with Project Management,8550.0,GBP,904077.0
University of Bedfordshire,Buckinghamshire,United Kingdom,MSc in Software Engineering and Applications,14600.0,GBP,1543804.0
University of Europe for Applied Sciences,Berlin,Germany,MSc in Software Engineering,10938.0,EUR,977310.2999999999
University of Europe for Applied Sciences,Berlin,Germany,MSc in Software Engineering,13188.0,EUR,1178347.7999999998
University of Europe for Applied Sciences,Berlin,Germany,MSc in Software Engineering,10938.0,EUR,977310.2999999999
De Montfort University,Leicester,United Kingdom,MSc in Software Engineering,18780.0,GBP,1985797.2
Università della Svizzera italiana,Appenzell Ausserrhoden,Switzerland,Masters in Software and Data Engineering,8000.0,CHF,748160.0
University of Gothenburg,V'stra G'talands l'n,Sweden,MS in Software Engineering and Management,146000.0,SEK,1160700.0
University of Lorraine,Grand Est,France,MS in Dependable Software Systems,8000.0,EUR,714800.0
Ulster University,Coleraine,United Kingdom,MSc in Professional Software Development,17090.0,GBP,1807096.5999999999
"University of Southern Denmark, Odense",Odense,Denmark,MSc in Software Engineering,13900.0,USD,1161484.0
SRH Hochschule Berlin,Berlin,Germany,MSc in Software Engineering,10800.0,EUR,964979.9999999999
University of West London,London,United Kingdom,MSc  in Software Engineering,13750.0,GBP,1453925.0
University of West London,London,United Kingdom,MSc in Software Engineering,14750.0,GBP,1559665.0
Hof University of Applied Sciences,Bavaria,Germany,MEng in Software Engineering for Industrial Applications,6600.0,EUR,589710.0
University of Wales Trinity Saint David,Swansea,United Kingdom,MSc in Software Engineering,15000.0,GBP,1586100.0
University of Wales Trinity Saint David,Swansea,United Kingdom,MSc in Software Engineering and Artificial Intelligence,15000.0,GBP,1586100.0
University of Bolton,Bolton,United Kingdom,MSc in Software Engineering,13550.0,GBP,1432777.0
University of Advancing Technology,Arizona,United States,MS in Software Engineering,18200.0,USD,1520792.0
University of Wisconsin–La Crosse,Wisconsin,United States,MS in Software Engineering,20178.0,USD,1686073.68
